Z,n
0,1017
1,31
2,36
3,17
4,4
5,22
6,17
7,11
8,3
9,8
10,7
11,3
12,3
13,4
14,1
15,2
16,2
17,1
19,2
20,1
21,1
23,2
26,1
27,1
36,1
43,1
