Z,n
0,3260
1,435
2,193
3,146
4,83
5,49
6,33
7,26
8,14
9,14
10,10
11,7
12,4
13,3
14,7
15,4
16,4
17,3
19,2
20,1
21,1
23,2
28,1
30,1
33,1
41,1
